defense,aspl_ism,aspl_fdr,glaze_ism,glaze_fdr,metacloak_ism,metacloak_fdr,mist_ism,mist_fdr
ada,0.1190,0.1500,0.1271,0.1375,0.0701,0.0875,0.1530,0.2125
ape,0.6393,0.9250,0.6456,0.9375,0.5307,0.7500,0.5977,0.9250
bf,0.7482,0.9000,0.7511,0.9000,0.7118,0.9000,0.7152,0.9250
bf_gn,0.7125,0.9250,0.7199,0.9375,0.6785,0.9250,0.6745,0.9125
diffpure,0.1443,0.7500,0.1411,0.7500,0.1441,0.7375,0.1380,0.7500
gn,0.7096,0.9250,0.7214,0.9250,0.6709,0.9000,0.6825,0.9125
gn_bf,0.7482,0.9000,0.7511,0.9000,0.7118,0.9000,0.7152,0.9250
adavoc,0.5717,0.9250,0.5698,0.9375,0.5220,0.8250,0.5373,0.8875
None,0.7377,0.9000,0.7514,0.9000,0.6985,0.8875,0.7093,0.9250
pdmpure,0.6130,0.9000,0.6123,0.9000,0.6089,0.9000,0.5953,0.9000
