img,prompt,ism↑,fdr↑,brisque↓
ariana_aspl,a_photo_of_sks_person,0.5139,0.7500,41.1872
ariana,a_photo_of_sks_person,0.7497,0.8750,30.1314
ariana_aspl_gn,a_photo_of_sks_person,0.6707,1.0000,17.5674
ariana_aspl_bf,a_photo_of_sks_person,0.3970,0.1875,38.4659
ariana_aspl_gn_bf,a_photo_of_sks_person,0.4750,0.2500,41.9114
ariana_aspl_bf_gn,a_photo_of_sks_person,0.6554,1.0000,7.7900
ariana_aspl_ape,a_photo_of_sks_person,0.5232,0.8125,40.9060
ariana_aspl_ada,a_photo_of_sks_person,0.5262,1.0000,33.9745
ariana_aspl_diffpure,a_photo_of_sks_person,0.1425,0.9375,27.8133
ariana_glaze,a_photo_of_sks_person,0.5770,0.8125,41.2451
ariana_glaze_gn,a_photo_of_sks_person,0.7173,1.0000,7.8380
ariana_glaze_bf,a_photo_of_sks_person,0.6562,0.9375,29.0875
ariana_glaze_gn_bf,a_photo_of_sks_person,0.6634,0.8750,39.6047
ariana_glaze_bf_gn,a_photo_of_sks_person,0.7078,0.8750,19.9766
ariana_glaze_ape,a_photo_of_sks_person,0.5733,1.0000,45.0197
ariana_glaze_ada,a_photo_of_sks_person,0.4954,0.8125,25.0456
ariana_glaze_diffpure,a_photo_of_sks_person,0.1360,0.7500,51.3747
ariana_metacloak,a_photo_of_sks_person,0.4795,0.2500,35.2415
ariana_metacloak_gn,a_photo_of_sks_person,0.5420,1.0000,12.3359
ariana_metacloak_bf,a_photo_of_sks_person,0.5678,0.1875,43.1511
ariana_metacloak_gn_bf,a_photo_of_sks_person,0.5434,0.3750,42.2453
ariana_metacloak_bf_gn,a_photo_of_sks_person,0.6161,1.0000,12.5753
ariana_metacloak_ape,a_photo_of_sks_person,0.5990,0.8125,32.1603
ariana_metacloak_ada,a_photo_of_sks_person,0.4186,0.6875,42.4036
ariana_metacloak_diffpure,a_photo_of_sks_person,0.2027,0.8750,39.3203
ariana_mist,a_photo_of_sks_person,0.3241,0.6250,15.7102
ariana_mist_gn,a_photo_of_sks_person,0.6023,1.0000,13.1631
ariana_mist_bf,a_photo_of_sks_person,0.5127,0.7500,40.0188
ariana_mist_gn_bf,a_photo_of_sks_person,0.6235,1.0000,38.2409
ariana_mist_bf_gn,a_photo_of_sks_person,0.5388,1.0000,12.8991
ariana_mist_ape,a_photo_of_sks_person,0.5980,1.0000,30.3521
ariana_mist_ada,a_photo_of_sks_person,0.3733,0.5625,36.9954
ariana_mist_diffpure,a_photo_of_sks_person,0.0880,1.0000,45.2763
chengyu,a_photo_of_sks_person,0.7442,0.9375,23.6750
chengyu_aspl,a_photo_of_sks_person,0.5788,1.0000,39.4337
chengyu_aspl_bf,a_photo_of_sks_person,0.5914,1.0000,43.2894
chengyu_aspl_gn,a_photo_of_sks_person,0.7618,1.0000,14.6753
chengyu_aspl_bf_gn,a_photo_of_sks_person,0.7077,1.0000,19.5496
chengyu_aspl_gn_bf,a_photo_of_sks_person,0.5808,1.0000,41.5253
chengyu_aspl_diffpure,a_photo_of_sks_person,0.0796,1.0000,58.7753
chengyu_aspl_ape,a_photo_of_sks_person,0.4611,0.9375,40.4533
chengyu_aspl_ada,a_photo_of_sks_person,0.0990,1.0000,26.5571
chengyu_glaze,a_photo_of_sks_person,0.6449,1.0000,19.9429
chengyu_glaze_bf_gn,a_photo_of_sks_person,0.7939,1.0000,0.3495
chengyu_glaze_ada,a_photo_of_sks_person,0.1181,1.0000,12.4643
chengyu_glaze_diffpure,a_photo_of_sks_person,-0.0394,0.9375,50.7079
chengyu_metacloak,a_photo_of_sks_person,0.5641,1.0000,35.1324
chengyu_metacloak_gn,a_photo_of_sks_person,0.5998,1.0000,6.3386
chengyu_mist_gn_bf,a_photo_of_sks_person,0.5304,1.0000,48.5860
chengyu_mist_bf_gn,a_photo_of_sks_person,0.4306,1.0000,17.6724
chengyu_mist_ape,a_photo_of_sks_person,0.4485,0.4375,34.8095
chengyu_mist_ada,a_photo_of_sks_person,0.0961,0.8750,31.5514
chengyu_mist_diffpure,a_photo_of_sks_person,-0.0310,1.0000,54.2633
chengyu_glaze_gn,a_photo_of_sks_person,0.7593,1.0000,7.1909
chengyu_glaze_bf,a_photo_of_sks_person,0.7980,1.0000,43.0530
chengyu_glaze_gn_bf,a_photo_of_sks_person,0.6857,1.0000,41.9375
chengyu_glaze_ape,a_photo_of_sks_person,0.6232,1.0000,28.9983
chengyu_metacloak_bf,a_photo_of_sks_person,0.6108,1.0000,43.8728
chengyu_metacloak_gn_bf,a_photo_of_sks_person,0.5946,0.9375,44.0017
chengyu_metacloak_bf_gn,a_photo_of_sks_person,0.6040,1.0000,15.4539
chengyu_metacloak_ape,a_photo_of_sks_person,0.3071,0.5625,36.9997
chengyu_metacloak_ada,a_photo_of_sks_person,0.1268,1.0000,36.2603
chengyu_metacloak_diffpure,a_photo_of_sks_person,-0.0494,1.0000,55.1904
chengyu_mist,a_photo_of_sks_person,0.2674,0.8750,21.6403
chengyu_mist_gn,a_photo_of_sks_person,0.2911,1.0000,23.3479
chengyu_mist_bf,a_photo_of_sks_person,0.5409,1.0000,46.7690
emma,a_photo_of_sks_person,0.6363,1.0000,40.1309
emma_aspl,a_photo_of_sks_person,0.2931,0.5625,49.3269
emma_aspl_bf,a_photo_of_sks_person,0.4168,0.7500,46.6166
emma_aspl_gn,a_photo_of_sks_person,0.5570,1.0000,6.0956
emma_aspl_bf_gn,a_photo_of_sks_person,0.6005,0.9375,15.6956
emma_aspl_gn_bf,a_photo_of_sks_person,0.4364,0.5000,40.2060
emma_aspl_diffpure,a_photo_of_sks_person,0.2517,0.8750,55.8436
emma_aspl_ape,a_photo_of_sks_person,0.4329,1.0000,36.6274
emma_aspl_ada,a_photo_of_sks_person,0.3747,0.8125,50.7812
emma_glaze,a_photo_of_sks_person,0.6169,0.9375,34.4424
emma_glaze_bf_gn,a_photo_of_sks_person,0.6877,1.0000,21.9809
emma_metacloak,a_photo_of_sks_person,0.5380,0.4375,45.1854
emma_mist,a_photo_of_sks_person,0.1801,0.6250,12.8360
emma_metacloak_gn,a_photo_of_sks_person,0.5608,1.0000,19.6693
emma_glaze_gn,a_photo_of_sks_person,0.6320,1.0000,6.5113
emma_glaze_bf,a_photo_of_sks_person,0.5850,0.9375,39.9188
emma_glaze_gn_bf,a_photo_of_sks_person,0.6861,1.0000,54.0321
emma_glaze_ape,a_photo_of_sks_person,0.5474,0.9375,39.0174
emma_glaze_ada,a_photo_of_sks_person,0.2782,1.0000,43.7882
emma_glaze_diffpure,a_photo_of_sks_person,0.2800,0.8125,60.1010
emma_metacloak_bf,a_photo_of_sks_person,0.3794,0.5000,46.2181
emma_metacloak_gn_bf,a_photo_of_sks_person,0.5600,0.6250,47.7605
emma_metacloak_bf_gn,a_photo_of_sks_person,0.5602,0.8750,14.9773
emma_metacloak_ape,a_photo_of_sks_person,0.4814,1.0000,28.6762
emma_metacloak_ada,a_photo_of_sks_person,0.2301,0.5000,52.5960
emma_metacloak_diffpure,a_photo_of_sks_person,0.3252,0.9375,58.6799
emma_mist_gn,a_photo_of_sks_person,0.5362,1.0000,20.2216
emma_mist_bf,a_photo_of_sks_person,0.5187,1.0000,43.9993
emma_mist_gn_bf,a_photo_of_sks_person,0.4675,1.0000,37.6599
emma_mist_bf_gn,a_photo_of_sks_person,0.4963,1.0000,11.8768
emma_mist_ape,a_photo_of_sks_person,0.3611,0.6250,33.6310
emma_mist_ada,a_photo_of_sks_person,0.3586,0.8125,40.8980
emma_mist_diffpure,a_photo_of_sks_person,0.2901,0.9375,54.0531
george,a_photo_of_sks_person,0.6085,0.6875,-1.6803
george_aspl,a_photo_of_sks_person,0.3849,0.0625,38.6968
george_aspl_gn,a_photo_of_sks_person,0.6372,0.8125,16.5555
george_aspl_bf,a_photo_of_sks_person,0.4403,0.0625,44.3758
george_aspl_bf_gn,a_photo_of_sks_person,0.6020,0.6875,21.1581
george_aspl_gn_bf,a_photo_of_sks_person,0.4864,0.4375,44.3603
george_aspl_diffpure,a_photo_of_sks_person,0.0999,0.9375,46.5056
george_aspl_ape,a_photo_of_sks_person,0.4347,0.6250,33.9418
george_aspl_ada,a_photo_of_sks_person,0.3696,0.0625,30.8147
george_mist,a_photo_of_sks_person,0,0.0000,19.3765
george_mist_gn,a_photo_of_sks_person,0.4672,0.3125,26.8454
george_mist_bf,a_photo_of_sks_person,0.4996,0.8750,51.0912
george_mist_bf_gn,a_photo_of_sks_person,0.5527,0.4375,27.2465
george_mist_gn_bf,a_photo_of_sks_person,0.3827,0.0625,48.6852
george_mist_ape,a_photo_of_sks_person,0.5132,0.6875,25.6629
george_mist_ada,a_photo_of_sks_person,0,0.0000,44.4093
george_mist_diffpure,a_photo_of_sks_person,0.1604,0.7500,41.8847
george_glaze,a_photo_of_sks_person,0.5656,0.7500,11.5132
george_glaze_gn,a_photo_of_sks_person,0.6088,0.8750,-0.3818
george_glaze_bf,a_photo_of_sks_person,0.5919,0.6250,32.7341
george_glaze_gn_bf,a_photo_of_sks_person,0.5963,0.8125,31.1962
george_glaze_bf_gn,a_photo_of_sks_person,0.6200,0.8125,8.0930
george_glaze_ape,a_photo_of_sks_person,0.5367,0.3750,33.6731
george_glaze_ada,a_photo_of_sks_person,0.3410,0.1250,45.7535
george_glaze_diffpure,a_photo_of_sks_person,0.1540,0.7500,45.3160
george_metacloak,a_photo_of_sks_person,0.2932,0.1250,44.8118
george_metacloak_gn,a_photo_of_sks_person,0.5804,0.6875,15.0751
george_metacloak_bf,a_photo_of_sks_person,0.5908,0.2500,40.6800
george_metacloak_gn_bf,a_photo_of_sks_person,0.6101,0.0625,43.7979
george_metacloak_bf_gn,a_photo_of_sks_person,0.5415,0.4375,18.0240
george_metacloak_ape,a_photo_of_sks_person,0.4131,0.1875,24.6557
