img,prompt,ism↑,fdr↑,brisque↓
ariana_aspl,a_photo_of_sks_person,0.5139,0.7500,41.1872
ariana,a_photo_of_sks_person,0.7497,0.8750,30.1314
ariana_aspl_gn,a_photo_of_sks_person,0.6707,1.0000,17.5674
ariana_aspl_bf,a_photo_of_sks_person,0.3970,0.1875,38.4659
ariana_aspl_gn_bf,a_photo_of_sks_person,0.4750,0.2500,41.9114
ariana_aspl_bf_gn,a_photo_of_sks_person,0.6554,1.0000,7.7900
ariana_aspl_ape,a_photo_of_sks_person,0.5232,0.8125,40.9060
ariana_aspl_ada,a_photo_of_sks_person,0.5262,1.0000,33.9745
ariana_aspl_diffpure,a_photo_of_sks_person,0.1425,0.9375,27.8133
ariana_glaze,a_photo_of_sks_person,0.5770,0.8125,41.2451
ariana_glaze_gn,a_photo_of_sks_person,0.7173,1.0000,7.8380
ariana_glaze_bf,a_photo_of_sks_person,0.6562,0.9375,29.0875
ariana_glaze_gn_bf,a_photo_of_sks_person,0.6634,0.8750,39.6047
ariana_glaze_bf_gn,a_photo_of_sks_person,0.7078,0.8750,19.9766
ariana_glaze_ape,a_photo_of_sks_person,0.5733,1.0000,45.0197
ariana_glaze_ada,a_photo_of_sks_person,0.4954,0.8125,25.0456
ariana_glaze_diffpure,a_photo_of_sks_person,0.1360,0.7500,51.3747
ariana_metacloak,a_photo_of_sks_person,0.4795,0.2500,35.2415
ariana_metacloak_gn,a_photo_of_sks_person,0.5420,1.0000,12.3359
ariana_metacloak_bf,a_photo_of_sks_person,0.5678,0.1875,43.1511
ariana_metacloak_gn_bf,a_photo_of_sks_person,0.5434,0.3750,42.2453
ariana_metacloak_bf_gn,a_photo_of_sks_person,0.6161,1.0000,12.5753
ariana_metacloak_ape,a_photo_of_sks_person,0.5990,0.8125,32.1603
ariana_metacloak_ada,a_photo_of_sks_person,0.4186,0.6875,42.4036
ariana_metacloak_diffpure,a_photo_of_sks_person,0.2027,0.8750,39.3203
ariana_mist,a_photo_of_sks_person,0.3241,0.6250,15.7102
ariana_mist_gn,a_photo_of_sks_person,0.6023,1.0000,13.1631
ariana_mist_bf,a_photo_of_sks_person,0.5127,0.7500,40.0188
ariana_mist_gn_bf,a_photo_of_sks_person,0.6235,1.0000,38.2409
ariana_mist_bf_gn,a_photo_of_sks_person,0.5388,1.0000,12.8991
ariana_mist_ape,a_photo_of_sks_person,0.5980,1.0000,30.3521
ariana_mist_ada,a_photo_of_sks_person,0.3733,0.5625,36.9954
ariana_mist_diffpure,a_photo_of_sks_person,0.0880,1.0000,45.2763
