img,prompt,ism↑,fdr↑,brisque↓
chengyu,a_photo_of_sks_person,0.7442,0.9375,23.6750
chengyu_aspl,a_photo_of_sks_person,0.5788,1.0000,39.4337
chengyu_aspl_bf,a_photo_of_sks_person,0.5914,1.0000,43.2894
chengyu_aspl_gn,a_photo_of_sks_person,0.7618,1.0000,14.6753
chengyu_aspl_bf_gn,a_photo_of_sks_person,0.7077,1.0000,19.5496
chengyu_aspl_gn_bf,a_photo_of_sks_person,0.5808,1.0000,41.5253
chengyu_aspl_diffpure,a_photo_of_sks_person,0.0796,1.0000,58.7753
chengyu_aspl_ape,a_photo_of_sks_person,0.4611,0.9375,40.4533
chengyu_aspl_ada,a_photo_of_sks_person,0.0990,1.0000,26.5571
chengyu_glaze,a_photo_of_sks_person,0.6449,1.0000,19.9429
chengyu_glaze_bf_gn,a_photo_of_sks_person,0.7939,1.0000,0.3495
chengyu_glaze_ada,a_photo_of_sks_person,0.1181,1.0000,12.4643
chengyu_glaze_diffpure,a_photo_of_sks_person,-0.0394,0.9375,50.7079
chengyu_metacloak,a_photo_of_sks_person,0.5641,1.0000,35.1324
chengyu_metacloak_gn,a_photo_of_sks_person,0.5998,1.0000,6.3386
chengyu_mist_gn_bf,a_photo_of_sks_person,0.5304,1.0000,48.5860
chengyu_mist_bf_gn,a_photo_of_sks_person,0.4306,1.0000,17.6724
chengyu_mist_ape,a_photo_of_sks_person,0.4485,0.4375,34.8095
chengyu_mist_ada,a_photo_of_sks_person,0.0961,0.8750,31.5514
chengyu_mist_diffpure,a_photo_of_sks_person,-0.0310,1.0000,54.2633
chengyu_glaze_gn,a_photo_of_sks_person,0.7593,1.0000,7.1909
chengyu_glaze_bf,a_photo_of_sks_person,0.7980,1.0000,43.0530
chengyu_glaze_gn_bf,a_photo_of_sks_person,0.6857,1.0000,41.9375
chengyu_glaze_ape,a_photo_of_sks_person,0.6232,1.0000,28.9983
chengyu_metacloak_bf,a_photo_of_sks_person,0.6108,1.0000,43.8728
chengyu_metacloak_gn_bf,a_photo_of_sks_person,0.5946,0.9375,44.0017
chengyu_metacloak_bf_gn,a_photo_of_sks_person,0.6040,1.0000,15.4539
chengyu_metacloak_ape,a_photo_of_sks_person,0.3071,0.5625,36.9997
chengyu_metacloak_ada,a_photo_of_sks_person,0.1268,1.0000,36.2603
chengyu_metacloak_diffpure,a_photo_of_sks_person,-0.0494,1.0000,55.1904
chengyu_mist,a_photo_of_sks_person,0.2674,0.8750,21.6403
chengyu_mist_gn,a_photo_of_sks_person,0.2911,1.0000,23.3479
chengyu_mist_bf,a_photo_of_sks_person,0.5409,1.0000,46.7690
