img,prompt,ism↑,fdr↑,brisque↓
jackie_aspl,a_photo_of_sks_person,0.6671,0.6250,31.9689
jackie_aspl_bf,a_photo_of_sks_person,0.6704,0.3750,38.8195
jackie_aspl_bf_gn,a_photo_of_sks_person,0.7127,0.9375,21.9428
jackie_aspl_gn_bf,a_photo_of_sks_person,0.6829,0.7500,38.5451
jackie_aspl_diffpure,a_photo_of_sks_person,0.2804,0.8750,51.5781
jackie_aspl_ape,a_photo_of_sks_person,0.4934,0.5000,41.3834
jackie_aspl_ada,a_photo_of_sks_person,0.3514,0.8750,42.6708
jackie_glaze,a_photo_of_sks_person,0.7130,0.8750,39.5787
jackie_glaze_gn,a_photo_of_sks_person,0.7287,0.9375,10.2220
jackie_glaze_bf,a_photo_of_sks_person,0.7508,0.5000,54.8540
jackie_glaze_gn_bf,a_photo_of_sks_person,0.6920,0.4375,55.8992
jackie_glaze_bf_gn,a_photo_of_sks_person,0.7053,1.0000,15.2252
jackie_glaze_ape,a_photo_of_sks_person,0.6065,0.7500,39.2241
jackie_glaze_ada,a_photo_of_sks_person,0.3045,0.8750,60.9016
jackie_glaze_diffpure,a_photo_of_sks_person,0.1102,0.9375,42.3128
jackie_metacloak,a_photo_of_sks_person,0.6207,0.3750,39.0362
jackie_metacloak_gn,a_photo_of_sks_person,0.6128,0.8750,25.0199
jackie_metacloak_bf,a_photo_of_sks_person,0.6854,0.3750,41.5321
jackie_metacloak_bf_gn,a_photo_of_sks_person,0.6232,0.8750,14.3362
jackie_metacloak_ape,a_photo_of_sks_person,0.6485,0.7500,30.4042
jackie_metacloak_ada,a_photo_of_sks_person,0.2353,0.9375,27.0380
jackie_metacloak_diffpure,a_photo_of_sks_person,0.2003,0.9375,52.8264
jackie_mist,a_photo_of_sks_person,0.3813,1.0000,29.2073
jackie_mist_gn,a_photo_of_sks_person,0.6010,0.8750,15.2282
jackie_mist_bf,a_photo_of_sks_person,0.6347,0.8750,40.1370
jackie_mist_gn_bf,a_photo_of_sks_person,0.6200,0.8750,39.9674
jackie_mist_bf_gn,a_photo_of_sks_person,0.6419,1.0000,19.1428
jackie_mist_ape,a_photo_of_sks_person,0.6175,0.8750,36.9687
jackie_mist_ada,a_photo_of_sks_person,0.3649,0.3125,53.0725
jackie_mist_diffpure,a_photo_of_sks_person,0.1435,0.9375,55.5367
jackie_aspl_gn,a_photo_of_sks_person,0.7089,0.8125,19.6039
jackie_metacloak_gn_bf,a_photo_of_sks_person,0.6308,0.5000,44.1099
jackie,a_photo_of_sks_person,0.6547,0.2500,23.3658
