img,prompt,ism↑,fdr↑,brisque↓
james,a_photo_of_sks_person,0.7141,0.9375,14.8711
james_aspl_bf,a_photo_of_sks_person,0.6455,0.9375,43.4522
james_aspl_gn,a_photo_of_sks_person,0.7170,0.9375,24.2714
james_aspl_bf_gn,a_photo_of_sks_person,0.7149,0.9375,22.9082
james_aspl_gn_bf,a_photo_of_sks_person,0.6010,0.9375,38.8844
james_aspl_diffpure,a_photo_of_sks_person,0.1505,1.0000,45.0302
james_aspl_ape,a_photo_of_sks_person,0.6159,1.0000,34.4836
james_aspl_ada,a_photo_of_sks_person,0.2822,0.7500,56.1159
james_glaze,a_photo_of_sks_person,0.7501,1.0000,18.5356
james_glaze_gn,a_photo_of_sks_person,0.6775,1.0000,13.8086
james_glaze_bf,a_photo_of_sks_person,0.7212,1.0000,31.0803
james_glaze_gn_bf,a_photo_of_sks_person,0.6929,0.9375,36.6352
james_glaze_bf_gn,a_photo_of_sks_person,0.6954,0.9375,15.7460
james_glaze_ape,a_photo_of_sks_person,0.6625,1.0000,14.9090
james_glaze_ada,a_photo_of_sks_person,0.3415,1.0000,42.1419
james_glaze_diffpure,a_photo_of_sks_person,0.1322,1.0000,44.7859
james_metacloak,a_photo_of_sks_person,0.6571,1.0000,36.4292
james_metacloak_gn,a_photo_of_sks_person,0.6727,1.0000,19.2365
james_metacloak_bf,a_photo_of_sks_person,0.6563,1.0000,37.5030
james_metacloak_bf_gn,a_photo_of_sks_person,0.6920,1.0000,11.7777
james_metacloak_gn_bf,a_photo_of_sks_person,0.6745,1.0000,38.7031
james_metacloak_ape,a_photo_of_sks_person,0.5968,1.0000,31.4682
james_metacloak_ada,a_photo_of_sks_person,0.1801,0.8750,54.1833
james_metacloak_diffpure,a_photo_of_sks_person,0.1518,1.0000,39.2996
james_mist,a_photo_of_sks_person,0.2455,0.7500,22.8819
james_mist_gn,a_photo_of_sks_person,0.6503,1.0000,15.5875
james_mist_bf,a_photo_of_sks_person,0.6103,1.0000,43.4474
james_mist_gn_bf,a_photo_of_sks_person,0.6181,1.0000,46.7187
james_mist_bf_gn,a_photo_of_sks_person,0.5648,1.0000,23.7491
james_mist_ape,a_photo_of_sks_person,0.5650,1.0000,30.6582
james_mist_ada,a_photo_of_sks_person,0.2087,0.8750,48.8516
james_mist_diffpure,a_photo_of_sks_person,0.1308,0.9375,46.8610
james_aspl,a_photo_of_sks_person,0.4753,0.8750,43.6921
