img,prompt,ism↑,fdr↑,brisque↓
johnny,a_photo_of_sks_person,0.6607,1.0000,21.0229
johnny_aspl,a_photo_of_sks_person,0.6210,1.0000,30.7370
johnny_aspl_gn,a_photo_of_sks_person,0.6212,1.0000,38.2655
johnny_aspl_bf,a_photo_of_sks_person,0.5663,1.0000,40.7447
johnny_aspl_bf_gn,a_photo_of_sks_person,0.6978,1.0000,37.8031
johnny_aspl_gn_bf,a_photo_of_sks_person,0.6022,1.0000,39.8892
johnny_aspl_diffpure,a_photo_of_sks_person,0.1651,0.8750,46.0397
johnny_aspl_ape,a_photo_of_sks_person,0.4840,1.0000,36.8123
johnny_aspl_ada,a_photo_of_sks_person,0.1274,0.8750,46.1073
johnny_glaze,a_photo_of_sks_person,0.6550,1.0000,15.2284
johnny_glaze_gn,a_photo_of_sks_person,0.6972,1.0000,19.4250
johnny_glaze_bf,a_photo_of_sks_person,0.6402,1.0000,32.3497
johnny_glaze_gn_bf,a_photo_of_sks_person,0.5913,0.9375,39.1580
johnny_glaze_bf_gn,a_photo_of_sks_person,0.6310,1.0000,25.9110
johnny_glaze_ape,a_photo_of_sks_person,0.5535,1.0000,36.9554
johnny_glaze_ada,a_photo_of_sks_person,0.1001,0.9375,53.7873
johnny_glaze_diffpure,a_photo_of_sks_person,0.0504,0.8125,45.3956
johnny_metacloak,a_photo_of_sks_person,0.5854,1.0000,35.0011
johnny_metacloak_gn,a_photo_of_sks_person,0.5812,1.0000,23.0263
johnny_metacloak_bf,a_photo_of_sks_person,0.5772,0.9375,36.7036
johnny_metacloak_gn_bf,a_photo_of_sks_person,0.5939,1.0000,40.5875
johnny_metacloak_bf_gn,a_photo_of_sks_person,0.6282,1.0000,14.8105
johnny_metacloak_ape,a_photo_of_sks_person,0.5127,1.0000,38.2824
johnny_metacloak_ada,a_photo_of_sks_person,0.1023,0.5625,52.1932
johnny_metacloak_diffpure,a_photo_of_sks_person,0.1585,0.9375,42.4034
johnny_mist,a_photo_of_sks_person,0.2122,0.1875,16.5678
johnny_mist_gn,a_photo_of_sks_person,0.5136,1.0000,9.4276
johnny_mist_bf,a_photo_of_sks_person,0.5217,1.0000,40.8483
johnny_mist_gn_bf,a_photo_of_sks_person,0.4847,1.0000,40.9363
johnny_mist_bf_gn,a_photo_of_sks_person,0.3782,1.0000,20.3374
johnny_mist_ape,a_photo_of_sks_person,0.4161,1.0000,37.3373
johnny_mist_ada,a_photo_of_sks_person,0.0876,0.8125,52.9061
johnny_mist_diffpure,a_photo_of_sks_person,0.1537,0.7500,43.2718
