img,prompt,ism↑,fdr↑,brisque↓
justin,a_photo_of_sks_person,0.6380,1.0000,20.3513
justin_aspl,a_photo_of_sks_person,0.5124,0.6875,40.8735
justin_aspl_gn,a_photo_of_sks_person,0.6117,1.0000,19.3752
justin_aspl_bf,a_photo_of_sks_person,0.4432,1.0000,41.8263
justin_aspl_bf_gn,a_photo_of_sks_person,0.6263,1.0000,16.4269
justin_aspl_gn_bf,a_photo_of_sks_person,0.4262,1.0000,38.7713
justin_aspl_diffpure,a_photo_of_sks_person,0.1971,0.6875,50.0712
justin_aspl_ape,a_photo_of_sks_person,0.4102,1.0000,33.3158
justin_aspl_ada,a_photo_of_sks_person,0.2007,1.0000,26.9817
justin_glaze,a_photo_of_sks_person,0.5628,1.0000,36.1744
justin_glaze_gn,a_photo_of_sks_person,0.6765,1.0000,6.1412
justin_glaze_bf,a_photo_of_sks_person,0.5492,1.0000,40.9377
justin_glaze_gn_bf,a_photo_of_sks_person,0.5665,1.0000,45.2410
justin_glaze_bf_gn,a_photo_of_sks_person,0.6924,1.0000,15.8276
justin_glaze_ape,a_photo_of_sks_person,0.4504,0.7500,23.2704
justin_glaze_ada,a_photo_of_sks_person,0.2068,1.0000,1.9255
justin_glaze_diffpure,a_photo_of_sks_person,0.2092,0.8125,52.5225
justin_metacloak,a_photo_of_sks_person,0.4978,0.6250,37.7835
justin_metacloak_gn,a_photo_of_sks_person,0.4966,1.0000,8.2740
justin_metacloak_bf,a_photo_of_sks_person,0.4714,0.9375,38.1811
justin_metacloak_gn_bf,a_photo_of_sks_person,0.4363,0.6875,41.2002
justin_metacloak_bf_gn,a_photo_of_sks_person,0.5843,1.0000,8.1436
justin_metacloak_ape,a_photo_of_sks_person,0.2831,0.1250,27.9182
justin_metacloak_ada,a_photo_of_sks_person,0.1687,0.8750,24.4890
justin_metacloak_diffpure,a_photo_of_sks_person,0.1405,0.6875,42.6768
justin_mist,a_photo_of_sks_person,0.2563,0.7500,20.7637
justin_mist_gn,a_photo_of_sks_person,0.4099,1.0000,22.1619
justin_mist_bf,a_photo_of_sks_person,0.3528,1.0000,42.2277
justin_mist_gn_bf,a_photo_of_sks_person,0.3694,1.0000,47.9802
justin_mist_bf_gn,a_photo_of_sks_person,0.4767,1.0000,23.2404
justin_mist_ape,a_photo_of_sks_person,0.3011,0.8125,29.2698
justin_mist_ada,a_photo_of_sks_person,0.2319,1.0000,28.2028
justin_mist_diffpure,a_photo_of_sks_person,0.2136,0.5625,55.9681
