img,prompt,ism↑,fdr↑,brisque↓
leonardo,a_photo_of_sks_person,0.7300,1.0000,12.5337
leonardo_aspl,a_photo_of_sks_person,0.6158,0.9375,40.3960
leonardo_aspl_gn,a_photo_of_sks_person,0.7165,1.0000,5.1040
leonardo_aspl_bf,a_photo_of_sks_person,0.7481,0.8750,44.4776
leonardo_aspl_bf_gn,a_photo_of_sks_person,0.7682,1.0000,22.2163
leonardo_aspl_gn_bf,a_photo_of_sks_person,0.6977,0.8750,45.9073
leonardo_aspl_diffpure,a_photo_of_sks_person,0.0270,0.6875,50.2484
leonardo_aspl_ape,a_photo_of_sks_person,0.6864,1.0000,29.8418
leonardo_aspl_ada,a_photo_of_sks_person,0.4378,1.0000,42.1382
leonardo_glaze,a_photo_of_sks_person,0.5723,1.0000,30.6116
leonardo_glaze_gn,a_photo_of_sks_person,0.7460,1.0000,4.4294
leonardo_glaze_bf,a_photo_of_sks_person,0.7321,1.0000,44.4302
leonardo_glaze_gn_bf,a_photo_of_sks_person,0.7778,1.0000,52.4117
leonardo_glaze_bf_gn,a_photo_of_sks_person,0.7934,1.0000,9.6542
leonardo_glaze_ape,a_photo_of_sks_person,0.7141,1.0000,13.3362
leonardo_glaze_ada,a_photo_of_sks_person,0.4762,1.0000,32.0070
leonardo_metacloak,a_photo_of_sks_person,0.5770,1.0000,40.2708
leonardo_metacloak_gn,a_photo_of_sks_person,0.6937,1.0000,22.8003
leonardo_metacloak_bf,a_photo_of_sks_person,0.6856,0.9375,41.8287
leonardo_metacloak_gn_bf,a_photo_of_sks_person,0.6291,0.8750,42.3868
leonardo_metacloak_bf_gn,a_photo_of_sks_person,0.6973,1.0000,19.8817
leonardo_metacloak_ape,a_photo_of_sks_person,0.6258,1.0000,31.4743
leonardo_metacloak_ada,a_photo_of_sks_person,0.3527,1.0000,42.8395
leonardo_metacloak_diffpure,a_photo_of_sks_person,0.0230,0.7500,35.6394
leonardo_mist,a_photo_of_sks_person,0.3720,1.0000,21.3621
leonardo_mist_gn,a_photo_of_sks_person,0.4781,0.9375,16.6843
leonardo_mist_bf,a_photo_of_sks_person,0.6959,1.0000,45.4037
leonardo_mist_gn_bf,a_photo_of_sks_person,0.6968,1.0000,38.8303
leonardo_mist_bf_gn,a_photo_of_sks_person,0.6019,1.0000,16.7766
leonardo_mist_ape,a_photo_of_sks_person,0.6867,1.0000,39.1025
leonardo_mist_ada,a_photo_of_sks_person,0.4178,1.0000,46.7307
leonardo_mist_diffpure,a_photo_of_sks_person,0.0676,1.0000,44.8171
leonardo_glaze_diffpure,a_photo_of_sks_person,0.0777,0.8750,43.4748
