img,prompt,ism↑,fdr↑,brisque↓
lucy,a_photo_of_sks_person,0.7334,1.0000,16.5720
lucy_aspl,a_photo_of_sks_person,0.6029,0.8125,42.3409
lucy_aspl_gn,a_photo_of_sks_person,0.7033,1.0000,22.1521
lucy_aspl_bf,a_photo_of_sks_person,0.6214,0.3750,34.5175
lucy_aspl_bf_gn,a_photo_of_sks_person,0.6442,1.0000,19.6372
lucy_aspl_gn_bf,a_photo_of_sks_person,0.6291,0.8750,37.9194
lucy_aspl_diffpure,a_photo_of_sks_person,-0.0119,0.7500,45.1680
lucy_aspl_ape,a_photo_of_sks_person,0.4916,0.9375,44.6159
lucy_aspl_ada,a_photo_of_sks_person,0.4010,1.0000,36.8009
lucy_glaze,a_photo_of_sks_person,0.7395,1.0000,29.9400
lucy_glaze_gn,a_photo_of_sks_person,0.7433,1.0000,9.7153
lucy_glaze_bf,a_photo_of_sks_person,0.7227,1.0000,49.0016
lucy_glaze_gn_bf,a_photo_of_sks_person,0.7190,1.0000,52.4787
lucy_glaze_bf_gn,a_photo_of_sks_person,0.7201,1.0000,4.8296
lucy_glaze_ape,a_photo_of_sks_person,0.5566,1.0000,43.8378
lucy_metacloak,a_photo_of_sks_person,0.6494,0.7500,40.9019
lucy_metacloak_gn,a_photo_of_sks_person,0.5988,1.0000,11.9343
lucy_metacloak_bf,a_photo_of_sks_person,0.4909,0.3125,41.8227
lucy_metacloak_gn_bf,a_photo_of_sks_person,0.6087,0.8125,44.5702
lucy_metacloak_bf_gn,a_photo_of_sks_person,0.5946,1.0000,19.7408
lucy_metacloak_ape,a_photo_of_sks_person,0.6063,0.6875,36.3124
lucy_metacloak_ada,a_photo_of_sks_person,0.4128,1.0000,42.8057
lucy_metacloak_diffpure,a_photo_of_sks_person,0.0767,1.0000,48.3211
lucy_mist,a_photo_of_sks_person,0.4666,0.4375,20.0870
lucy_mist_gn,a_photo_of_sks_person,0.6431,1.0000,23.0493
lucy_mist_bf,a_photo_of_sks_person,0.6240,1.0000,43.9297
lucy_mist_gn_bf,a_photo_of_sks_person,0.6275,0.9375,45.9862
lucy_mist_bf_gn,a_photo_of_sks_person,0.6020,1.0000,29.2357
lucy_mist_ape,a_photo_of_sks_person,0.5973,1.0000,32.0831
lucy_mist_ada,a_photo_of_sks_person,0.4126,1.0000,38.1566
lucy_mist_diffpure,a_photo_of_sks_person,0.1396,1.0000,52.8859
lucy_glaze_diffpure,a_photo_of_sks_person,0.0832,0.9375,48.7341
lucy_glaze_ada,a_photo_of_sks_person,0.3255,1.0000,42.7924
