img,prompt,ism↑,fdr↑,brisque↓
morgan,a_photo_of_sks_person,0.7003,0.8750,12.3642
morgan_aspl,a_photo_of_sks_person,0.6301,0.5000,43.5841
morgan_aspl_gn,a_photo_of_sks_person,0.7462,0.8750,15.6531
morgan_aspl_bf,a_photo_of_sks_person,0.6082,0.8750,50.9269
morgan_aspl_bf_gn,a_photo_of_sks_person,0.7262,0.7500,10.9275
morgan_aspl_gn_bf,a_photo_of_sks_person,0.5236,0.6875,48.0679
morgan_aspl_diffpure,a_photo_of_sks_person,0.2332,0.8750,37.9187
morgan_aspl_ape,a_photo_of_sks_person,0.5345,0.9375,25.2556
morgan_aspl_ada,a_photo_of_sks_person,0.5559,0.4375,45.1263
morgan_glaze,a_photo_of_sks_person,0.7294,0.9375,7.1456
morgan_glaze_gn,a_photo_of_sks_person,0.7557,0.8125,22.6376
morgan_glaze_bf,a_photo_of_sks_person,0.7603,0.8750,26.8228
morgan_glaze_gn_bf,a_photo_of_sks_person,0.7305,0.8125,31.2882
morgan_glaze_bf_gn,a_photo_of_sks_person,0.7390,0.8750,12.4340
morgan_glaze_ape,a_photo_of_sks_person,0.5403,1.0000,21.2143
morgan_glaze_ada,a_photo_of_sks_person,0.5895,0.1250,50.1206
morgan_glaze_diffpure,a_photo_of_sks_person,0.2061,0.9375,36.9548
morgan_metacloak,a_photo_of_sks_person,0.5282,0.2500,37.0991
morgan_metacloak_gn,a_photo_of_sks_person,0.5428,0.6875,8.1335
morgan_metacloak_bf,a_photo_of_sks_person,0.5373,0.1250,44.1254
morgan_metacloak_gn_bf,a_photo_of_sks_person,0.4906,0.3125,43.8154
morgan_metacloak_bf_gn,a_photo_of_sks_person,0.5404,0.9375,16.0880
morgan_metacloak_ape,a_photo_of_sks_person,0.5399,0.2500,26.4814
morgan_metacloak_ada,a_photo_of_sks_person,0,0.0000,49.6860
morgan_metacloak_diffpure,a_photo_of_sks_person,0.2026,0.8125,43.9599
morgan_mist,a_photo_of_sks_person,0.4305,0.8750,16.4826
morgan_mist_gn,a_photo_of_sks_person,0.7364,0.6250,12.9911
morgan_mist_bf,a_photo_of_sks_person,0.8022,1.0000,37.4593
morgan_mist_gn_bf,a_photo_of_sks_person,0.7809,0.9375,36.1337
morgan_mist_bf_gn,a_photo_of_sks_person,0.6423,0.8125,15.4451
morgan_mist_ape,a_photo_of_sks_person,0.5700,1.0000,33.8325
morgan_mist_ada,a_photo_of_sks_person,0.5548,0.0625,52.6665
morgan_mist_diffpure,a_photo_of_sks_person,0.2471,0.8750,24.2019
