img,prompt,ism↑,fdr↑,brisque↓
oprah,a_photo_of_sks_person,0.6758,0.8750,15.6240
oprah_aspl,a_photo_of_sks_person,0.4260,0.8125,33.6162
oprah_aspl_gn,a_photo_of_sks_person,0.6430,1.0000,18.4138
oprah_aspl_bf,a_photo_of_sks_person,0.4874,1.0000,36.5829
oprah_aspl_bf_gn,a_photo_of_sks_person,0.6483,1.0000,15.8493
oprah_aspl_gn_bf,a_photo_of_sks_person,0.5490,0.9375,39.4935
oprah_aspl_diffpure,a_photo_of_sks_person,0.2971,0.8750,34.8745
oprah_aspl_ape,a_photo_of_sks_person,0.5786,1.0000,33.9760
oprah_aspl_ada,a_photo_of_sks_person,0.2636,1.0000,30.6947
oprah_glaze,a_photo_of_sks_person,0.6536,0.9375,22.2687
oprah_glaze_gn,a_photo_of_sks_person,0.7027,1.0000,24.6349
oprah_glaze_bf_gn,a_photo_of_sks_person,0.7336,0.9375,11.0664
oprah_glaze_ape,a_photo_of_sks_person,0.5220,0.8750,35.5704
oprah_glaze_ada,a_photo_of_sks_person,0.3773,1.0000,23.4605
oprah_glaze_diffpure,a_photo_of_sks_person,0.3044,1.0000,44.7717
oprah_metacloak,a_photo_of_sks_person,0.5419,0.9375,24.4233
oprah_metacloak_gn,a_photo_of_sks_person,0.5766,1.0000,17.2941
oprah_metacloak_bf,a_photo_of_sks_person,0.5792,0.9375,40.1040
oprah_metacloak_gn_bf,a_photo_of_sks_person,0.6105,1.0000,39.2787
oprah_metacloak_bf_gn,a_photo_of_sks_person,0.5692,1.0000,19.3686
oprah_metacloak_ape,a_photo_of_sks_person,0.5985,1.0000,35.1240
oprah_metacloak_ada,a_photo_of_sks_person,0.4111,0.8750,33.5789
oprah_metacloak_diffpure,a_photo_of_sks_person,0.2730,0.9375,34.5975
oprah_mist,a_photo_of_sks_person,0.2628,0.5000,20.2372
oprah_mist_gn,a_photo_of_sks_person,0.4722,0.8750,19.6629
oprah_mist_bf,a_photo_of_sks_person,0.3358,0.9375,32.7470
oprah_mist_gn_bf,a_photo_of_sks_person,0.3707,0.6875,40.3049
oprah_mist_bf_gn,a_photo_of_sks_person,0.5096,0.9375,28.6922
oprah_mist_ape,a_photo_of_sks_person,0.4915,1.0000,34.2201
oprah_mist_ada,a_photo_of_sks_person,0.4212,1.0000,41.2069
oprah_mist_diffpure,a_photo_of_sks_person,0.2568,1.0000,43.1207
oprah_glaze_bf,a_photo_of_sks_person,0.5442,0.9375,35.3019
oprah_glaze_gn_bf,a_photo_of_sks_person,0.6445,0.8125,33.9864
