img,prompt,ism↑,fdr↑,brisque↓
rihanna,a_photo_of_sks_person,0.6777,0.6250,18.1689
rihanna_aspl,a_photo_of_sks_person,0.5238,0.1875,41.3900
rihanna_aspl_gn,a_photo_of_sks_person,0.6897,0.8125,8.9004
rihanna_aspl_bf,a_photo_of_sks_person,0.6308,0.3750,39.9536
rihanna_aspl_bf_gn,a_photo_of_sks_person,0.8527,0.8125,6.1045
rihanna_aspl_gn_bf,a_photo_of_sks_person,0.7953,0.6250,43.7214
rihanna_aspl_diffpure,a_photo_of_sks_person,-0.0094,0.5625,32.0255
rihanna_aspl_ape,a_photo_of_sks_person,0.7405,0.3125,38.8998
rihanna_aspl_ada,a_photo_of_sks_person,0.4709,0.1250,26.9357
rihanna_glaze,a_photo_of_sks_person,0.7639,0.7500,24.7478
rihanna_glaze_gn,a_photo_of_sks_person,0.8220,0.9375,13.8441
rihanna_glaze_bf,a_photo_of_sks_person,0.8224,0.8125,51.2237
rihanna_glaze_gn_bf,a_photo_of_sks_person,0.7928,0.6875,51.2022
rihanna_glaze_bf_gn,a_photo_of_sks_person,0.8018,0.6875,4.8620
rihanna_glaze_ape,a_photo_of_sks_person,0.6523,0.8750,18.0950
rihanna_glaze_ada,a_photo_of_sks_person,0.3525,0.3750,33.9342
rihanna_glaze_diffpure,a_photo_of_sks_person,0.0235,0.6250,35.4417
rihanna_metacloak,a_photo_of_sks_person,0.5084,0.2500,39.9063
rihanna_metacloak_gn,a_photo_of_sks_person,0.7294,0.6875,11.8867
rihanna_metacloak_bf,a_photo_of_sks_person,0.6372,0.2500,40.6216
rihanna_metacloak_gn_bf,a_photo_of_sks_person,0.5403,0.3750,40.6045
rihanna_metacloak_bf_gn,a_photo_of_sks_person,0.6433,0.8750,8.3154
rihanna_metacloak_ape,a_photo_of_sks_person,0.5446,0.2500,27.1297
rihanna_metacloak_ada,a_photo_of_sks_person,0.2017,0.2500,35.6029
rihanna_metacloak_diffpure,a_photo_of_sks_person,0.0187,0.7500,49.2861
rihanna_mist,a_photo_of_sks_person,0.1433,0.5625,11.6549
rihanna_mist_gn,a_photo_of_sks_person,0.7386,0.5625,14.8987
rihanna_mist_bf,a_photo_of_sks_person,0.5195,0.4375,35.2584
rihanna_mist_gn_bf,a_photo_of_sks_person,0.5879,0.3750,38.6971
rihanna_mist_bf_gn,a_photo_of_sks_person,0.6991,0.8750,14.0161
rihanna_mist_ape,a_photo_of_sks_person,0.5398,0.8750,29.5717
rihanna_mist_ada,a_photo_of_sks_person,0.5252,0.1875,44.2134
rihanna_mist_diffpure,a_photo_of_sks_person,0.0598,0.6250,51.3614
