img,prompt,ism↑,fdr↑,brisque↓
shah,a_photo_of_sks_person,0.6259,1.0000,27.1306
shah_aspl,a_photo_of_sks_person,0.4876,0.8125,37.2393
shah_aspl_gn,a_photo_of_sks_person,0.6695,1.0000,31.3798
shah_aspl_bf,a_photo_of_sks_person,0.4143,0.9375,39.0739
shah_aspl_bf_gn,a_photo_of_sks_person,0.6376,1.0000,32.2327
shah_aspl_gn_bf,a_photo_of_sks_person,0.4504,0.6875,42.8527
shah_aspl_diffpure,a_photo_of_sks_person,0.1232,0.8750,51.7505
shah_aspl_ape,a_photo_of_sks_person,0.4567,1.0000,37.1252
shah_aspl_ada,a_photo_of_sks_person,0.2191,0.3750,55.0891
shah_glaze,a_photo_of_sks_person,0.5662,1.0000,40.5436
shah_glaze_gn,a_photo_of_sks_person,0.7075,0.8750,31.8086
shah_glaze_bf,a_photo_of_sks_person,0.6834,1.0000,41.3801
shah_glaze_gn_bf,a_photo_of_sks_person,0.6331,1.0000,45.0236
shah_glaze_bf_gn,a_photo_of_sks_person,0.6688,1.0000,26.1140
shah_glaze_ape,a_photo_of_sks_person,0.6037,1.0000,24.7773
shah_glaze_ada,a_photo_of_sks_person,0.3564,0.3125,52.4553
shah_glaze_diffpure,a_photo_of_sks_person,0.0855,0.9375,46.5086
shah_metacloak,a_photo_of_sks_person,0.5539,0.7500,38.1197
shah_metacloak_gn,a_photo_of_sks_person,0.5526,1.0000,32.5934
shah_metacloak_bf,a_photo_of_sks_person,0.5194,0.6875,39.5864
shah_metacloak_gn_bf,a_photo_of_sks_person,0.5229,0.6875,45.9217
shah_metacloak_bf_gn,a_photo_of_sks_person,0.5095,1.0000,31.3373
shah_metacloak_ape,a_photo_of_sks_person,0.4768,0.8750,37.2807
shah_metacloak_ada,a_photo_of_sks_person,0.3429,0.0625,60.5818
shah_metacloak_diffpure,a_photo_of_sks_person,0.1641,0.8125,53.7805
shah_mist,a_photo_of_sks_person,0,0.0000,17.6938
shah_mist_gn,a_photo_of_sks_person,0.5942,1.0000,21.3173
shah_mist_bf,a_photo_of_sks_person,0.3744,1.0000,46.8746
shah_mist_gn_bf,a_photo_of_sks_person,0.4665,1.0000,54.3624
shah_mist_bf_gn,a_photo_of_sks_person,0.5622,1.0000,23.1381
shah_mist_ape,a_photo_of_sks_person,0.4281,0.9375,36.3346
shah_mist_ada,a_photo_of_sks_person,0,0.0000,60.4846
shah_mist_diffpure,a_photo_of_sks_person,0.1632,0.8125,53.1502
