img,prompt,ism↑,fdr↑,brisque↓
shirley,a_photo_of_sks_person,0.7735,0.9375,17.0669
shirley_aspl,a_photo_of_sks_person,0.7212,0.9375,41.6147
shirley_aspl_gn,a_photo_of_sks_person,0.7287,0.9375,36.6196
shirley_aspl_bf,a_photo_of_sks_person,0.7310,0.8750,43.9343
shirley_aspl_bf_gn,a_photo_of_sks_person,0.8017,1.0000,33.5650
shirley_aspl_gn_bf,a_photo_of_sks_person,0.7420,1.0000,42.2850
shirley_aspl_diffpure,a_photo_of_sks_person,0.1618,0.8125,28.2990
shirley_aspl_ape,a_photo_of_sks_person,0.4924,0.8750,39.8606
shirley_aspl_ada,a_photo_of_sks_person,0.1257,0.1875,26.1977
shirley_glaze,a_photo_of_sks_person,0.7037,1.0000,27.9313
shirley_glaze_gn,a_photo_of_sks_person,0.7705,0.9375,11.8010
shirley_glaze_bf,a_photo_of_sks_person,0.7820,0.9375,45.8069
shirley_glaze_gn_bf,a_photo_of_sks_person,0.7758,1.0000,44.1046
shirley_glaze_bf_gn,a_photo_of_sks_person,0.7759,1.0000,14.5439
shirley_glaze_ape,a_photo_of_sks_person,0.6019,0.9375,31.9274
shirley_glaze_ada,a_photo_of_sks_person,0.0981,0.3125,22.3609
shirley_glaze_diffpure,a_photo_of_sks_person,0.0909,1.0000,36.7894
shirley_metacloak,a_photo_of_sks_person,0.6678,0.7500,36.6348
shirley_metacloak_gn,a_photo_of_sks_person,0.7616,1.0000,31.1371
shirley_metacloak_bf,a_photo_of_sks_person,0.7132,0.8125,41.1586
shirley_metacloak_gn_bf,a_photo_of_sks_person,0.7088,0.9375,43.0208
shirley_metacloak_bf_gn,a_photo_of_sks_person,0.7132,1.0000,23.8066
shirley_metacloak_ape,a_photo_of_sks_person,0.4534,0.8750,35.4892
shirley_metacloak_ada,a_photo_of_sks_person,0,0.0000,37.3027
shirley_metacloak_diffpure,a_photo_of_sks_person,0.0490,0.8750,40.4680
shirley_mist,a_photo_of_sks_person,0.2762,0.5000,20.2969
shirley_mist_gn,a_photo_of_sks_person,0.6884,1.0000,16.6269
shirley_mist_bf,a_photo_of_sks_person,0.6505,1.0000,48.5268
shirley_mist_gn_bf,a_photo_of_sks_person,0.6414,1.0000,48.3432
shirley_mist_bf_gn,a_photo_of_sks_person,0.6572,1.0000,23.4888
shirley_mist_ape,a_photo_of_sks_person,0.4202,0.9375,32.2223
shirley_mist_ada,a_photo_of_sks_person,0.1121,0.1250,14.6400
shirley_mist_diffpure,a_photo_of_sks_person,0.2198,1.0000,32.4317
