img,prompt,ism↑,fdr↑,brisque↓
weitsang_aspl,a_photo_of_sks_person,0.6289,1.0000,40.4363
weitsang_aspl_bf,a_photo_of_sks_person,0.6765,1.0000,41.3466
weitsang_aspl_bf_gn,a_photo_of_sks_person,0.6959,1.0000,26.2331
weitsang_aspl_gn_bf,a_photo_of_sks_person,0.6716,1.0000,40.1607
weitsang_aspl_diffpure,a_photo_of_sks_person,0.3467,0.9375,58.8691
weitsang_aspl_ape,a_photo_of_sks_person,0.5604,1.0000,40.7163
weitsang_aspl_ada,a_photo_of_sks_person,0.2219,0.9375,14.5606
weitsang_glaze,a_photo_of_sks_person,0.7674,1.0000,17.7789
weitsang_glaze_bf_gn,a_photo_of_sks_person,0.7350,1.0000,19.1104
weitsang_glaze_ada,a_photo_of_sks_person,0.2213,1.0000,21.1896
weitsang_glaze_diffpure,a_photo_of_sks_person,0.2858,0.8125,47.6499
weitsang_mist,a_photo_of_sks_person,0.4355,0.6875,17.1844
weitsang_mist_gn,a_photo_of_sks_person,0.7164,1.0000,26.9215
weitsang_metacloak,a_photo_of_sks_person,0.5937,0.8750,38.2984
weitsang_metacloak_gn,a_photo_of_sks_person,0.7651,1.0000,20.9478
weitsang,a_photo_of_sks_person,0.7772,1.0000,9.8035
weitsang_aspl_gn,a_photo_of_sks_person,0.7624,0.9375,35.4296
weitsang_glaze_gn,a_photo_of_sks_person,0.7979,1.0000,13.4851
weitsang_glaze_bf,a_photo_of_sks_person,0.7483,0.9375,36.7156
weitsang_glaze_gn_bf,a_photo_of_sks_person,0.7596,0.9375,39.8514
weitsang_glaze_ape,a_photo_of_sks_person,0.6069,1.0000,33.3072
weitsang_metacloak_bf,a_photo_of_sks_person,0.7169,1.0000,46.0937
weitsang_metacloak_gn_bf,a_photo_of_sks_person,0.7437,1.0000,44.4130
weitsang_metacloak_bf_gn,a_photo_of_sks_person,0.7850,1.0000,18.5843
weitsang_metacloak_ape,a_photo_of_sks_person,0.5559,0.8750,38.7232
weitsang_metacloak_ada,a_photo_of_sks_person,0.1974,1.0000,34.5906
weitsang_metacloak_diffpure,a_photo_of_sks_person,0.2226,0.8750,55.0707
weitsang_mist_bf,a_photo_of_sks_person,0.7149,1.0000,43.5974
weitsang_mist_gn_bf,a_photo_of_sks_person,0.6884,1.0000,50.7161
weitsang_mist_bf_gn,a_photo_of_sks_person,0.6944,1.0000,25.0252
weitsang_mist_ape,a_photo_of_sks_person,0.5358,0.9375,40.8297
weitsang_mist_ada,a_photo_of_sks_person,0.2110,1.0000,27.5220
weitsang_mist_diffpure,a_photo_of_sks_person,0.2704,1.0000,53.5365
